
code	|	name	|	preferred name	|	taxid
1	|	Agreia bicolorata	|	 	|	110935
1	|	Akkermansia muciniphila	|	 	|	239935
1	|	Alcaligenes faecalis	|	 	|	511
1	|	Alcanivorax borkumensis	|	 	|	59754
1	|	Alcanivorax dieselolei	|	Alloalcanivorax dieselolei	|	285091
1	|	Alcanivorax jadensis	|	 	|	64988
1	|	Algibacter lectus	|	 	|	221126
1	|	Alicycliphilus denitrificans	|	 	|	179636
1	|	Alicyclobacillus acidocaldarius	|	 	|	405212
1	|	Alicyclobacillus acidoterrestris	|	 	|	1450
1	|	Alicyclobacillus ferrooxydans	|	 	|	471514
1	|	Alicyclobacillus hesperidum	|	 	|	89784
1	|	Aliivibrio fischeri	|	 	|	668
1	|	Aliivibrio logei	|	 	|	688
1	|	Aliivibrio salmonicida	|	 	|	40269
1	|	Aliivibrio wodanis	|	 	|	80852
1	|	Alishewanella aestuarii	|	 	|	453835
1	|	Alishewanella agri	|	 	|	553384
1	|	Alishewanella jeotgali	|	 	|	545533
1	|	Alistipes finegoldii	|	 	|	214856
1	|	Alistipes indistinctus	|	 	|	626932
1	|	Alistipes putredinis	|	 	|	28117
1	|	Alistipes shahii	|	 	|	328814
1	|	Alkaliphilus oremlandii	|	 	|	461876
1	|	Allochromatium vinosum	|	 	|	1049
1	|	Alloscardovia omnicolens	|	 	|	419015
1	|	Altererythrobacter marensis	|	Pelagerythrobacter marensis	|	543877
1	|	Alteromonas macleodii	|	 	|	28108
1	|	Alteromonas stellipolaris	|	 	|	233316
1	|	Aminobacter aminovorans	|	 	|	83263
1	|	Aminobacterium colombiense	|	 	|	81468
1	|	Aminomonas paucivorans	|	 	|	81412
1	|	Ammonifex degensii	|	 	|	42838
1	|	Amphibacillus xylanus	|	 	|	1449
1	|	Amycolatopsis azurea	|	 	|	36819
1	|	Amycolatopsis halophila	|	Haloechinothrix halophila	|	1069073
1	|	Amycolatopsis japonica	|	 	|	208439
1	|	Amycolatopsis keratiniphila	|	 	|	129921
1	|	Amycolatopsis mediterranei	|	 	|	33910
1	|	Amycolatopsis methanolica	|	 	|	1814
1	|	Amycolatopsis orientalis	|	 	|	31958
1	|	Amycolatopsis regifaucium	|	 	|	546365
1	|	Anabaena variabilis	|	Trichormus variabilis	|	264691
1	|	Anaerobaculum hydrogeniformans	|	Acetomicrobium hydrogeniformans	|	649746
1	|	Anaerobaculum mobile	|	Acetomicrobium mobile	|	97477
1	|	Anaerococcus prevotii	|	 	|	33034
1	|	Anaerococcus hydrogenalis	|	 	|	33029
1	|	Anaerococcus lactolyticus	|	 	|	33032
1	|	Anaerococcus tetradius	|	 	|	33036
1	|	Anaerococcus vaginalis	|	 	|	33037
1	|	Anaerofustis stercorihominis	|	 	|	214853
1	|	Anaerolinea thermophila	|	 	|	167964
1	|	Anaeromyxobacter dehalogenans	|	 	|	161493
1	|	Anaerostipes caccae	|	 	|	105841
1	|	Anaerotruncus colihominis	|	 	|	169435
1	|	Aneurinibacillus aneurinilyticus	|	 	|	1391
1	|	Anoxybacillus amylolyticus	|	 	|	294699
1	|	Aquamicrobium defluvii	|	 	|	69279
1	|	Aquifex aeolicus	|	 	|	63363
1	|	Aquitalea magnusonii	|	 	|	332411
1	|	Arcanobacterium haemolyticum	|	 	|	28264
1	|	Archangium gephyra	|	 	|	48
1	|	Arcobacter butzleri	|	Aliarcobacter butzleri	|	28197
1	|	Arcobacter nitrofigilis	|	 	|	28199
1	|	Arcobacter thereius	|	Aliarcobacter thereius	|	544718
1	|	Arenimonas composti	|	 	|	370776
1	|	Arenimonas donghaensis	|	 	|	375061
1	|	Arenimonas malthae	|	 	|	354197
1	|	Arenimonas oryziterrae	|	 	|	498055
1	|	Arthrobacter alpinus	|	 	|	656366
1	|	Arthrobacter crystallopoietes	|	 	|	37928
1	|	Arthrobacter globiformis	|	 	|	1665
1	|	Asaia platycodi	|	 	|	610243
1	|	Asanoa ferruginea	|	 	|	53367
1	|	Asticcacaulis benevestitus	|	 	|	347481
1	|	Asticcacaulis excentricus	|	 	|	78587
1	|	Atopobium minutum	|	 	|	1381
1	|	Atopobium parvulum	|	Lancefieldella parvula	|	1382
1	|	Atopobium rimae	|	Lancefieldella rimae	|	1383
1	|	Atopobium vaginae	|	Fannyhessea vaginae	|	82135
1	|	Aurantimonas manganoxydans	|	 	|	651183
1	|	Aureimonas altamirensis	|	 	|	370622
1	|	Aureimonas ureilytica	|	 	|	401562
1	|	Austwickia chelonae	|	 	|	100225
1	|	Avibacterium paragallinarum	|	 	|	728
1	|	Azorhizobium caulinodans	|	 	|	7
1	|	Azospirillum brasilense	|	 	|	192
1	|	Azospirillum lipoferum	|	 	|	193
1	|	Azospirillum thiophilum	|	 	|	528244
1	|	Azotobacter chroococcum	|	 	|	353
1	|	Azotobacter vinelandii	|	 	|	354
1	|	Bacillus alcalophilus	|	Alkalihalobacillus alcalophilus	|	1445
1	|	Bacillus altitudinis	|	 	|	293387
1	|	Bacillus amyloliquefaciens	|	 	|	1390
1	|	Bacillus anthracis	|	 	|	1392
1	|	Bacillus aryabhattai	|	Priestia aryabhattai	|	412384
1	|	Bacillus atrophaeus	|	 	|	1452
1	|	Bacillus azotoformans	|	Schinkia azotoformans	|	1454
1	|	Bacillus badius	|	 	|	1455
1	|	Bacillus bataviensis	|	Neobacillus bataviensis	|	220685
1	|	Bacillus beveridgei	|	Salisediminibacterium beveridgei	|	632773
1	|	Bacillus boroniphilus	|	Mesobacillus boroniphilus	|	308892
1	|	Bacillus butanolivorans	|	Peribacillus butanolivorans	|	421767
1	|	Bacillus cellulosilyticus	|	Evansella cellulosilytica	|	1413
1	|	Bacillus cereus	|	 	|	1396
2	|	Bacillus cibi	|	Metabacillus indicus	|	246786
1	|	Bacillus circulans	|	Niallia circulans	|	1397
1	|	Bacillus clausii	|	Alkalihalobacillus clausii	|	79880
1	|	Bacillus coagulans	|	Weizmannia coagulans	|	1398
1	|	Bacillus endophyticus	|	Priestia endophytica	|	135735
1	|	Bacillus flexus	|	Priestia flexa	|	86664
1	|	Bacillus galactosidilyticus	|	Lederbergia galactosidilytica	|	217031
1	|	Bacillus ginsengihumi	|	Weizmannia ginsengihumi	|	363870
1	|	Bacillus halodurans	|	Halalkalibacterium halodurans	|	86665
1	|	Bacillus hemicellulosilyticus	|	Alkalihalobacillus hemicellulosilyticus	|	127886
1	|	Bacillus indicus	|	Metabacillus indicus	|	246786
1	|	Bacillus infantis	|	 	|	324767
1	|	Bacillus koreensis	|	Priestia koreensis	|	284581
1	|	Bacillus lehensis	|	Alkalihalobacillus lehensis	|	300825
1	|	Bacillus licheniformis	|	 	|	1402
1	|	Bacillus luciferensis	|	Gottfriedia luciferensis	|	178774
1	|	Bacillus marisflavi	|	Rossellomorea marisflavi	|	189381
1	|	Bacillus marmarensis	|	Alkalihalophilus marmarensis	|	521377
1	|	Bacillus megaterium	|	Priestia megaterium	|	1404
1	|	Bacillus methanolicus	|	 	|	1471
1	|	Bacillus muralis	|	Peribacillus muralis	|	264697
1	|	Bacillus murimartini	|	Alkalicoccobacillus murimartini	|	171685
1	|	Bacillus mycoides	|	 	|	1405
1	|	Bacillus nealsonii	|	Niallia nealsonii	|	115979
1	|	Bacillus oceanisediminis	|	Cytobacillus oceanisediminis	|	665099
1	|	Bacillus okhensis	|	Alkalihalobacillus okhensis	|	333138
1	|	Bacillus pseudofirmus	|	Alkalihalophilus pseudofirmus	|	79885
1	|	Bacillus pseudomycoides	|	 	|	64104
1	|	Bacillus pumilus	|	 	|	1408
1	|	Bacillus selenatarsenatis	|	Mesobacillus selenatarsenatis	|	388741
1	|	Bacillus shackletonii	|	Margalitia shackletonii	|	157838
1	|	Bacillus siamensis	|	 	|	659243
1	|	Bacillus simplex	|	Peribacillus simplex	|	1478
1	|	Bacillus smithii	|	 	|	1479
1	|	Bacillus sonorensis	|	 	|	119858
1	|	Bacillus subterraneus	|	Mesobacillus subterraneus	|	285983
1	|	Bacillus subtilis	|	 	|	1423
1	|	Bacillus thermoamylovorans	|	Caldibacillus thermoamylovorans	|	35841
1	|	Bacillus thuringiensis	|	 	|	1428
1	|	Bacillus trypoxylicola	|	Alkalihalobacillus trypoxylicola	|	519424
1	|	Bacillus vallismortis	|	 	|	72361
1	|	Bacillus vietnamensis	|	Rossellomorea vietnamensis	|	218284
1	|	Bacillus vireti	|	Neobacillus vireti	|	220686
1	|	Bacteroides caccae	|	 	|	47678
1	|	Bacteroides cellulosilyticus	|	 	|	246787
1	|	Bacteroides clarus	|	 	|	626929
1	|	Bacteroides coprocola	|	Phocaeicola coprocola	|	310298
1	|	Bacteroides coprophilus	|	Phocaeicola coprophilus	|	387090
1	|	Bacteroides coprosuis	|	 	|	151276
1	|	Bacteroides dorei	|	Phocaeicola dorei	|	357276
1	|	Bacteroides eggerthii	|	 	|	28111
1	|	Bacteroides finegoldii	|	 	|	338188
1	|	Bacteroides fluxus	|	 	|	626930
1	|	Bacteroides fragilis	|	 	|	817
1	|	Bacteroides graminisolvens	|	 	|	477666
1	|	Bacteroides helcogenes	|	 	|	290053
1	|	Bacteroides intestinalis	|	 	|	329854
1	|	Bacteroides oleiciplenus	|	 	|	626931
1	|	Bacteroides ovatus	|	 	|	28116
1	|	Bacteroides plebeius	|	Phocaeicola plebeius	|	310297
1	|	Bacteroides pyogenes	|	 	|	310300
1	|	Bacteroides salanitronis	|	Phocaeicola salanitronis	|	376805
1	|	Bacteroides salyersiae	|	 	|	291644
1	|	Bacteroides thetaiotaomicron	|	 	|	818
1	|	Bifidobacterium boum	|	 	|	78343
1	|	Bacteroides uniformis	|	 	|	820
1	|	Bacteroides vulgatus	|	Phocaeicola vulgatus	|	821
1	|	Bacteroides xylanisolvens	|	 	|	371601
1	|	Barnesiella viscericola	|	 	|	397865
1	|	Bartonella alsatica	|	 	|	52764
1	|	Bartonella bacilliformis	|	 	|	774
1	|	Bartonella birtlesii	|	 	|	111504
1	|	Bartonella bovis	|	 	|	155194
1	|	Bartonella henselae	|	 	|	38323
1	|	Bartonella koehlerae	|	 	|	92181
1	|	Bartonella quintana	|	 	|	803
1	|	Bartonella rochalimae	|	 	|	395923
1	|	Bdellovibrio bacteriovorus	|	 	|	959
1	|	Beggiatoa alba	|	 	|	1022
1	|	Beijerinckia indica	|	 	|	533
1	|	Belliella baltica	|	 	|	232259
1	|	Bellilinea caldifistulae	|	 	|	360411
1	|	Bergeyella zoohelcum	|	 	|	1015
1	|	Beutenbergia cavernae	|	 	|	84757
1	|	Bhargavaea cecembensis	|	 	|	394098
1	|	Bibersteinia trehalosi	|	 	|	47735
1	|	Bifidobacterium actinocoloniiforme	|	 	|	638619
1	|	Bifidobacterium adolescentis	|	 	|	1680
1	|	Bifidobacterium angulatum	|	 	|	1683
1	|	Bifidobacterium animalis	|	 	|	28025
1	|	Bifidobacterium asteroides	|	 	|	1684
1	|	Bifidobacterium biavatii	|	 	|	762212
1	|	Bifidobacterium bifidum	|	 	|	1681
1	|	Bifidobacterium bohemicum	|	 	|	638617
1	|	Bifidobacterium bombi	|	 	|	471511
1	|	Bifidobacterium breve	|	 	|	1685
1	|	Bifidobacterium callitrichos	|	 	|	762209
1	|	Bifidobacterium catenulatum	|	 	|	1686
1	|	Bifidobacterium choerinum	|	 	|	35760
1	|	Bifidobacterium coryneforme	|	 	|	1687
1	|	Bifidobacterium cuniculi	|	 	|	1688
1	|	Bifidobacterium dentium	|	 	|	1689
1	|	Bifidobacterium gallicum	|	 	|	78342
1	|	Bifidobacterium gallinarum	|	Bifidobacterium pullorum subsp. gallinarum	|	78344
1	|	Bifidobacterium indicum	|	 	|	1691
1	|	Bifidobacterium kashiwanohense	|	Bifidobacterium catenulatum subsp. kashiwanohense	|	630129
1	|	Bifidobacterium longum	|	 	|	216816
1	|	Bifidobacterium magnum	|	 	|	1692
1	|	Bifidobacterium merycicum	|	 	|	78345
1	|	Bifidobacterium minimum	|	 	|	1693
1	|	Bifidobacterium mongoliense	|	 	|	518643
1	|	Bifidobacterium pseudocatenulatum	|	 	|	28026
1	|	Bifidobacterium pseudolongum	|	 	|	1694
1	|	Bifidobacterium psychraerophilum	|	 	|	218140
1	|	Bifidobacterium pullorum	|	 	|	78448
1	|	Bifidobacterium reuteri	|	 	|	983706
1	|	Bifidobacterium ruminantium	|	 	|	78346
1	|	Bifidobacterium saeculare	|	Bifidobacterium pullorum subsp. saeculare	|	78257
1	|	Bifidobacterium saguini	|	 	|	762210
1	|	Bifidobacterium scardovii	|	 	|	158787
1	|	Bifidobacterium stellenboschense	|	 	|	762211
2	|	Bifidobacterium stercoris	|	Bifidobacterium adolescentis	|	1680
1	|	Bifidobacterium subtile	|	 	|	77635
1	|	Bifidobacterium thermacidophilum	|	 	|	246618
1	|	Bifidobacterium thermophilum	|	 	|	33905
1	|	Bifidobacterium tsurumiense	|	 	|	356829
1	|	Bilophila wadsworthia	|	 	|	35833
1	|	Bizionia argentinensis	|	 	|	456455
1	|	Blastochloris viridis	|	 	|	1079
1	|	Blastococcus saxobsidens	|	 	|	138336
1	|	Blastopirellula marina	|	 	|	124
1	|	Blautia hansenii	|	 	|	1322
1	|	Blautia hydrogenotrophica	|	 	|	53443
1	|	Bordetella avium	|	 	|	521
1	|	Bordetella petrii	|	 	|	94624
1	|	Bordetella bronchiseptica	|	 	|	518
1	|	Bordetella hinzii	|	 	|	103855
1	|	Bordetella holmesii	|	 	|	35814
1	|	Bordetella parapertussis	|	 	|	519
1	|	Bordetella pertussis	|	 	|	520
1	|	Bordetella trematum	|	 	|	123899
1	|	Borrelia afzelii	|	Borreliella afzelii	|	29518
1	|	Borrelia burgdorferi	|	Borreliella burgdorferi	|	139
1	|	Borrelia garinii	|	Borreliella garinii	|	29519
1	|	Borrelia hermsii	|	 	|	140
1	|	Bosea thiooxidans	|	 	|	53254
1	|	Brachybacterium faecium	|	 	|	43669
1	|	Brachybacterium muris	|	 	|	219301
1	|	Brachybacterium phenoliresistens	|	 	|	396014
1	|	Brachyspira murdochii	|	 	|	84378
1	|	Bradyrhizobium elkanii	|	 	|	29448
1	|	Bradyrhizobium japonicum	|	 	|	375
1	|	Bradyrhizobium jicamae	|	 	|	280332
1	|	Bradyrhizobium liaoningense	|	 	|	43992
1	|	Bradyrhizobium pachyrhizi	|	 	|	280333
1	|	Brevibacillus agri	|	 	|	51101
1	|	Brevibacillus brevis	|	 	|	1393
1	|	Brevibacillus choshinensis	|	 	|	54911
1	|	Brevibacillus formosus	|	 	|	54913
1	|	Brevibacillus laterosporus	|	 	|	1465
1	|	Brevibacillus panacihumi	|	 	|	497735
1	|	Brevibacillus parabrevis	|	 	|	54914
1	|	Brevibacillus reuszeri	|	 	|	54915
1	|	Brevibacterium casei	|	 	|	33889
1	|	Brevibacterium linens	|	 	|	1703
1	|	Brevundimonas diminuta	|	 	|	293
1	|	Brevundimonas naejangsanensis	|	 	|	588932
1	|	Brevundimonas nasdae	|	 	|	172043
1	|	Brevundimonas subvibrioides	|	 	|	74313
1	|	Brochothrix campestris	|	 	|	2757
1	|	Brochothrix thermosphacta	|	 	|	2756
1	|	Brucella suis	|	 	|	29461
1	|	Bulleidia extructa	|	 	|	118748
1	|	Burkholderia ambifaria	|	 	|	152480
1	|	Burkholderia anthina	|	 	|	179879
1	|	Burkholderia cenocepacia	|	 	|	95486
1	|	Burkholderia cepacia	|	 	|	292
1	|	Burkholderia contaminans	|	 	|	488447
1	|	Burkholderia diffusa	|	 	|	488732
1	|	Burkholderia dolosa	|	 	|	152500
1	|	Burkholderia gladioli	|	 	|	28095
1	|	Burkholderia glumae	|	 	|	337
1	|	Burkholderia lata	|	 	|	482957
1	|	Burkholderia latens	|	 	|	488446
1	|	Burkholderia metallica	|	 	|	488729
1	|	Burkholderia multivorans	|	 	|	87883
1	|	Burkholderia oklahomensis	|	 	|	342113
1	|	Burkholderia plantarii	|	 	|	41899
1	|	Burkholderia pseudomallei	|	 	|	28450
1	|	Burkholderia seminalis	|	 	|	488731
1	|	Burkholderia pyrrocinia	|	 	|	60550
1	|	Burkholderia stabilis	|	 	|	95485
1	|	Burkholderia thailandensis	|	 	|	57975
1	|	Burkholderia ubonensis	|	 	|	101571
1	|	Burkholderia vietnamiensis	|	 	|	60552
1	|	Buttiauxella agrestis	|	 	|	82977
1	|	Buttiauxella brennerae	|	 	|	82988
1	|	Buttiauxella ferragutiae	|	 	|	82989
1	|	Buttiauxella gaviniae	|	 	|	82990
1	|	Buttiauxella noackiae	|	 	|	82992
1	|	Butyricicoccus pullicaecorum	|	 	|	501571
1	|	Butyrivibrio crossotus	|	 	|	45851
1	|	Butyrivibrio proteoclasticus	|	 	|	43305
1	|	Caldanaerobacter subterraneus	|	 	|	911092
1	|	Caldicellulosiruptor bescii	|	 	|	31899
1	|	Caldicellulosiruptor hydrothermalis	|	 	|	413888
2	|	Caldicellulosiruptor kristjanssonii	|	Caldicellulosiruptor acetigenus	|	301953
1	|	Caldicellulosiruptor kronotskyensis	|	 	|	413889
2	|	Caldicellulosiruptor lactoaceticus	|	Caldicellulosiruptor acetigenus	|	301953
1	|	Caldicellulosiruptor owensensis	|	 	|	55205
1	|	Caldicellulosiruptor saccharolyticus	|	 	|	44001
1	|	Caldilinea aerophila	|	 	|	133453
1	|	Caldisericum exile	|	 	|	693075
1	|	Calditerrivibrio nitroreducens	|	 	|	477976
1	|	Caldithrix abyssi	|	 	|	187145
1	|	Caloramator australicus	|	 	|	515264
1	|	Caloramator mitchellensis	|	 	|	908809
1	|	Caminibacter mediatlanticus	|	 	|	291048
1	|	Campylobacter coli	|	 	|	195
1	|	Campylobacter concisus	|	 	|	199
1	|	Campylobacter curvus	|	 	|	200
1	|	Campylobacter fetus	|	 	|	196
1	|	Campylobacter gracilis	|	 	|	824
1	|	Campylobacter hominis	|	 	|	76517
1	|	Campylobacter hyointestinalis	|	 	|	198
1	|	Campylobacter insulaenigrae	|	 	|	260714
1	|	Campylobacter jejuni	|	 	|	197
1	|	Campylobacter lari	|	 	|	201
1	|	Campylobacter mucosalis	|	 	|	202
1	|	Campylobacter rectus	|	 	|	203
1	|	Campylobacter showae	|	 	|	204
1	|	Campylobacter upsaliensis	|	 	|	28080
1	|	Campylobacter ureolyticus	|	 	|	827
1	|	Campylobacter volucris	|	 	|	1031542
1	|	Capnocytophaga canimorsus	|	 	|	28188
1	|	Capnocytophaga cynodegmi	|	 	|	28189
1	|	Capnocytophaga gingivalis	|	 	|	1017
1	|	Capnocytophaga haemolytica	|	 	|	45243
1	|	Capnocytophaga ochracea	|	 	|	1018
1	|	Capnocytophaga sputigena	|	 	|	1019
1	|	Carboxydothermus hydrogenoformans	|	 	|	129958
1	|	Cardiobacterium hominis	|	 	|	2718
1	|	Cardiobacterium valvarum	|	 	|	194702
1	|	Carnobacterium divergens	|	 	|	2748
1	|	Carnobacterium inhibens	|	 	|	147709
1	|	Carnobacterium maltaromaticum	|	 	|	2751
1	|	Caryophanon latum	|	 	|	33977
1	|	Caryophanon tenue	|	 	|	33978
1	|	Castellaniella defragrans	|	 	|	75697
1	|	Catellicoccus marimammalium	|	 	|	300419
1	|	Catenibacterium mitsuokai	|	 	|	100886
1	|	Catenovulum agarivorans	|	 	|	1172192
1	|	Catenulispora acidiphila	|	 	|	304895
1	|	Caulobacter henricii	|	 	|	69395
1	|	Caulobacter segnis	|	 	|	88688
1	|	Caulobacter vibrioides	|	 	|	155892
1	|	Cedecea davisae	|	 	|	158484
1	|	Cedecea neteri	|	 	|	158822
1	|	Cellulomonas bogoriensis	|	 	|	301388
1	|	Cellulomonas fimi	|	 	|	1708
1	|	Cellulomonas flavigena	|	 	|	1711
1	|	Cellulophaga algicola	|	 	|	59600
1	|	Cellulophaga lytica	|	 	|	979
1	|	Cellulosimicrobium cellulans	|	 	|	1710
1	|	Cellulosimicrobium funkei	|	 	|	264251
1	|	Cellvibrio japonicus	|	 	|	155077
1	|	Cesiribacter andamanensis	|	 	|	649507
1	|	Cetobacterium somerae	|	 	|	188913
1	|	Chelatococcus daeguensis	|	 	|	444444
1	|	Chelatococcus sambhunathii	|	 	|	363953
1	|	Chelonobacter oris	|	 	|	505317
1	|	Chitinophaga pinensis	|	 	|	79329
1	|	Chlamydia trachomatis	|	 	|	813
1	|	Chlamydophila pneumoniae	|	Chlamydia pneumoniae	|	83558
1	|	Chlorobaculum limnaeum	|	 	|	274537
1	|	Chlorobaculum parvum	|	 	|	274539
1	|	Chlorobium ferrooxidans	|	 	|	84205
1	|	Chlorobium limicola	|	 	|	1092
1	|	Chlorobium luteolum	|	Pelodictyon luteolum	|	1100
1	|	Chlorobium phaeovibrioides	|	 	|	1094
1	|	Chlorobium tepidum	|	Chlorobaculum tepidum	|	1097
1	|	Chloroflexus aggregans	|	 	|	152260
1	|	Chloroflexus aurantiacus	|	 	|	1108
1	|	Chondromyces apiculatus	|	 	|	51
1	|	Chondromyces crocatus	|	 	|	52
1	|	Chromobacterium piscinae	|	 	|	686831
1	|	Chromobacterium violaceum	|	 	|	536
1	|	Chromohalobacter salexigens	|	 	|	158080
1	|	Chryseobacterium antarcticum	|	Kaistella antarctica	|	266748
1	|	Chryseobacterium formosense	|	 	|	236814
1	|	Chryseobacterium gleum	|	 	|	250
1	|	Chryseobacterium indologenes	|	 	|	253
1	|	Chryseobacterium jeonii	|	Kaistella jeonii	|	266749
1	|	Chryseobacterium luteum	|	 	|	421531
1	|	Chryseobacterium oranimense	|	 	|	421058
1	|	Chryseobacterium piperi	|	 	|	558152
1	|	Chryseobacterium soli	|	 	|	445961
1	|	Chryseobacterium solincola	|	Kaistella solincola	|	510955
